Species,Korean name,English name,Cornell index
Anas zonorhyncha,흰뺨검둥오리,Eastern Spot-billed Duck,481
Streptopelia orientalis,멧비둘기,Oriental Turtle-Dove,1988
Gallinula chloropus,쇠물닭,Eurasian Moorhen,5321
Ardea cinerea,왜가리,Gray Heron,7176
Egretta garzetta,쇠백로,Little Egret,7217
Dendrocopos major,오색딱다구리,Great Spotted Woodpecker,10843
Cyanopica cyanus,물까치,Azure-winged Magpie,20597
Pica serica,까치,Oriental Magpie,20672
Corvus macrorhynchos,큰부리까마귀,Large-billed Crow,20792
Poecile palustris,쇠박새,Marsh Tit,21224
Parus minor,박새,Japanese Tit,21398
Hypsipetes amaurotis,직박구리,Brown-eared Bulbul,23873
Aegithalos caudatus,오목눈이,Long-tailed Tit,24332
Sinosuthora webbiana,붉은머리오목눈이,Vinous-throated Parrotbill,24617
Regulus regulus,상모솔새,Goldcrest,25954
Turdus mandarinus,대륙검은지빠귀,Chinese Blackbird,27581
Turdus naumanni,노랑지빠귀,Naumann's Thrush,27803
Tarsiger cyanurus,유리딱새,Red-flanked Bluetail,28494
Phoenicurus auroreus,딱새,Daurian Redstart,28635
Passer montanus,참새,Eurasian Tree Sparrow,30560
Fringilla montifringilla,되새,Brambling,30923
Spinus spinus,검은머리방울새,Eurasian Siskin,31529
Emberiza spodocephala,촉새,Black-faced Bunting,31751
Phalacrocorax carbo,민물가마우지,Great Cormorant,7042
Yungipicus kizuki,쇠딱다구리,Japanese Pygmy Woodpecker,10756
Picus canus,청딱다구리,Gray-headed Woodpecker,11132
Sittiparus varius,곤줄박이,Varied Tit,21204
Phylloscopus proregulus,노랑허리솔새,Pallas's Leaf Warbler,23950
Zosterops japonicus,동박새,Warbling White-eye,24746
Sitta europaea,동고비,Eurasian Nuthatch,25988
Turdus hortulorum,되지빠귀,Gray-backed Thrush,27719
Turdus pallidus,흰배지빠귀,Pale Thrush,27729
Turdus eunomus,개똥지빠귀,Dusky Thrush,27802
Cyanoptila cyanomelana,큰유리새,Blue-and-white Flycatcher,28188
Otus sunia,소쩍새,Oriental Scops-Owl,8350
Phylloscopus inornatus,노랑눈썹솔새,Yellow-browed Warbler,23943
Anas platyrhynchos,청둥오리,Mallard,483
Apus pacificus,칼새,Pacific Swift,4034
Nycticorax nycticorax,해오라기,Black-crowned Night-Heron,7305
Accipiter gularis,조롱이,Japanese Sparrowhawk,7851
Falco subbuteo,새호리기,Eurasian Hobby,11539
Hirundo rustica,제비,Barn Swallow,23291
Phylloscopus coronatus,산솔새,Eastern Crowned Warbler,24011
Phylloscopus tenellipes,되솔새,Pale-legged Leaf Warbler,24073
Muscicapa dauurica,쇠솔딱새,Asian Brown Flycatcher,27816
Larvivora sibilans,울새,Rufous-tailed Robin,28390
Ficedula zanthopygia,흰눈썹황금새,Yellow-rumped Flycatcher,28508
Emberiza tristrami,흰배멧새,Tristram's Bunting,31757
Ardea alba,중대백로,Great Egret,7200
Accipiter soloensis,붉은배새매,Chinese Sparrowhawk,7782
Accipiter nisus,새매,Eurasian Sparrowhawk,7885
Ninox japonica,솔부엉이,Northern Boobook,8914
Eurystomus orientalis,파랑새,Dollarbird,9901
Oriolus chinensis,꾀꼬리,Black-naped Oriole,18878
Alcedo atthis,물총새,Common Kingfisher,9389
Garrulus glandarius,어치,Eurasian Jay,20545
Phylloscopus borealis,쇠솔새,Arctic Warbler,24077
Phylloscopus examinandus,솔새,Kamchatka Leaf Warbler,24079
Muscicapa sibirica,솔딱새,Dark-sided Flycatcher,27809
Aix galericulata,원앙,Mandarin Duck,408
Ficedula albicilla,흰꼬리딱새,Taiga Flycatcher,28560
Anser albifrons,쇠기러기,Greater White-fronted Goose,255
Anser serrirostris,큰기러기,Tundra Bean-Goose,272
Anatidae (goose sp.),기러기류,goose sp.,0
Pandion haliaetus,물수리,Osprey,7429
Periparus venustulus,노랑배진박새,Yellow-bellied Tit,21178
Zoothera aurea,호랑지빠귀,White's Thrush,27271
Ficedula mugimaki,노랑딱새,Mugimaki Flycatcher,28514
Periparus ater,진박새,Coal Tit,21146
Troglodytes troglodytes,굴뚝새,Eurasian Wren,26339
Coccothraustes coccothraustes,콩새,Hawfinch,31041
Eophona migratoria,밀화부리,Yellow-billed Grosbeak,31047
Accipiter gentilis,참매,Northern Goshawk,7926
Falco tinnunculus,황조롱이,Eurasian Kestrel,11463
Buteo japonicus,말똥가리,Eastern Buzzard,8133
Larus argentatus,재갈매기,Herring Gull,6339
Turdus eunomus x naumanni,개똥지빠귀 x 노랑지빠귀 (교잡종),Dusky x Naumann's Thrush (hybrid),0
Anas crecca crecca,쇠오리,Green-winged Teal (Eurasian),542
Ardea alba alba,대백로,Great Egret (Eurasian),7201
Horornis canturians,휘파람새,Manchurian Bush Warbler,24284
Butorides striata,검은댕기해오라기,Striated Heron,7267
Scolopax rusticola,멧도요,Eurasian Woodcock,5969
Emberiza elegans,노랑턱멧새,Yellow-throated Bunting,31714
Phasianus colchicus,꿩,Ring-necked Pheasant,1376
Urosphena squameiceps,숲새,Asian Stubtail,24210
Butorides striata,댕기해오라기,Striated Heron,7267
Acrocephalus orientalis,개개비,Oriental Reed Warbler,22871
Actitis hypoleucos,깝작도요,Common Sandpiper,6025
Motacilla cinerea,노랑할미새,Gray Wagtail,30633
Motacilla alba,알락할미새,White Wagtail,30675
Turdus eunomus/naumanni,개똥지빠귀/노랑지빠귀,Dusky/Naumann's Thrush,0
Anthus hodgsoni,힝둥새,Olive-backed Pipit,30815
Aythya marila,검은머리흰죽지,Greater Scaup,616
Tachybaptus ruficollis,논병아리,Little Grebe,1758
Fulica atra,물닭,Eurasian Coot,5346
Chloris sinica,방울새,Oriental Greenfinch,31285
Horornis diphone,섬휘파람새,Japanese Bush Warbler,24278
Anas platyrhynchos (Domestic type),청둥오리(가금),Mallard (Domestic type),0
Aegithalos caudatus caudatus,흰머리오목눈이,Long-tailed Tit (caudatus),24333
Motacilla alba lugens,백할미새,White Wagtail (Black-backed),30685
Emberiza rustica,쑥새,Rustic Bunting,31746
Haliaeetus albicilla,흰꼬리수리,White-tailed Eagle,7971
Motacilla alba ocularis,검은턱할미새,White Wagtail (ocularis),30680
