scientific name,sort v2021
,
Struthio camelus,1.0
Struthio camelus camelus,2.0
Struthio camelus syriacus,3.0
Struthio camelus massaicus,4.0
Struthio camelus australis,5.0
Struthio molybdophanes,6.0
Rhea americana,8.0
Rhea americana araneipes,9.0
Rhea americana americana,10.0
Rhea americana nobilis,11.0
Rhea americana albescens,12.0
Rhea americana intermedia,13.0
Rhea pennata,14.0
Rhea pennata tarapacensis/garleppi,15.0
Rhea pennata garleppi,16.0
Rhea pennata tarapacensis,17.0
Rhea pennata pennata,18.0
Nothocercus julius,19.0
Nothocercus bonapartei,20.0
Nothocercus bonapartei [bonapartei Group],21.0
Nothocercus bonapartei intercedens,22.0
Nothocercus bonapartei discrepans,23.0
Nothocercus bonapartei bonapartei,24.0
Nothocercus bonapartei plumbeiceps,25.0
Nothocercus bonapartei frantzii,26.0
Nothocercus nigrocapillus,27.0
Nothocercus nigrocapillus cadwaladeri,28.0
Nothocercus nigrocapillus nigrocapillus,29.0
Tinamus tao,30.0
Tinamus tao larensis,31.0
Tinamus tao kleei,32.0
Tinamus tao septentrionalis,33.0
Tinamus tao tao,34.0
Tinamus solitarius,35.0
Tinamus osgoodi,36.0
Tinamus osgoodi hershkovitzi,37.0
Tinamus osgoodi osgoodi,38.0
Tinamus major,39.0
Tinamus major robustus,40.0
Tinamus major percautus,41.0
Tinamus major fuscipennis,42.0
Tinamus major castaneiceps,43.0
Tinamus major brunneiventris,44.0
Tinamus major saturatus,45.0
Tinamus major latifrons,46.0
Tinamus major zuliensis,47.0
Tinamus major peruvianus,48.0
Tinamus major serratus,49.0
Tinamus major major,50.0
Tinamus major olivascens,51.0
Tinamus guttatus,52.0
Crypturellus cinereus,54.0
Crypturellus berlepschi,55.0
Crypturellus soui,56.0
Crypturellus soui meserythrus,57.0
Crypturellus soui modestus,58.0
Crypturellus soui capnodes,59.0
Crypturellus soui poliocephalus,60.0
Crypturellus soui panamensis,61.0
Crypturellus soui harterti,62.0
Crypturellus soui caucae,63.0
Crypturellus soui mustelinus,64.0
Crypturellus soui soui,65.0
Crypturellus soui caquetae,66.0
Crypturellus soui andrei,67.0
Crypturellus soui nigriceps,68.0
Crypturellus soui inconspicuus,69.0
Crypturellus soui albigularis,70.0
Crypturellus ptaritepui,71.0
Crypturellus obsoletus,72.0
Crypturellus obsoletus castaneus,73.0
Crypturellus obsoletus [obsoletus Group],74.0
Crypturellus obsoletus ochraceiventris,75.0
Crypturellus obsoletus traylori,76.0
Crypturellus obsoletus punensis,77.0
Crypturellus obsoletus cerviniventris,78.0
Crypturellus obsoletus knoxi,79.0
Crypturellus obsoletus griseiventris,80.0
Crypturellus obsoletus hypochraceus,81.0
Crypturellus obsoletus obsoletus,82.0
Crypturellus undulatus,83.0
Crypturellus undulatus manapiare,84.0
Crypturellus undulatus simplex,85.0
Crypturellus undulatus yapura,86.0
Crypturellus undulatus vermiculatus,87.0
Crypturellus undulatus adspersus,88.0
Crypturellus undulatus undulatus,89.0
Crypturellus transfasciatus,90.0
Crypturellus strigulosus,91.0
Crypturellus duidae,92.0
Crypturellus erythropus,93.0
Crypturellus erythropus columbianus,94.0
Crypturellus erythropus saltuarius,95.0
Crypturellus erythropus idoneus,96.0
Crypturellus erythropus cursitans,97.0
Crypturellus erythropus spencei,98.0
Crypturellus erythropus margaritae,99.0
Crypturellus erythropus erythropus,100.0
Crypturellus noctivagus,101.0
Crypturellus noctivagus zabele,102.0
Crypturellus noctivagus noctivagus,103.0
Crypturellus atrocapillus,104.0
Crypturellus atrocapillus atrocapillus,105.0
Crypturellus atrocapillus garleppi,106.0
Crypturellus boucardi,107.0
Crypturellus boucardi boucardi,108.0
Crypturellus boucardi costaricensis,109.0
Crypturellus kerriae,110.0
Crypturellus variegatus,111.0
Crypturellus cinnamomeus,112.0
Crypturellus cinnamomeus occidentalis,113.0
Crypturellus cinnamomeus [cinnamomeus Group],114.0
Crypturellus cinnamomeus soconuscensis,115.0
Crypturellus cinnamomeus mexicanus,116.0
Crypturellus cinnamomeus sallaei,117.0
Crypturellus cinnamomeus goldmani,118.0
Crypturellus cinnamomeus vicinior,119.0
Crypturellus cinnamomeus cinnamomeus,120.0
Crypturellus cinnamomeus delattrii,121.0
Crypturellus cinnamomeus praepes,122.0
Crypturellus brevirostris,123.0
Crypturellus bartletti,124.0
Crypturellus parvirostris,125.0
Crypturellus casiquiare,126.0
Crypturellus tataupa,127.0
Crypturellus tataupa inops,128.0
Crypturellus tataupa peruvianus,129.0
Crypturellus tataupa lepidotus,130.0
Crypturellus tataupa tataupa,131.0
Rhynchotus rufescens,133.0
Rhynchotus rufescens catingae,134.0
Rhynchotus rufescens rufescens,135.0
Rhynchotus rufescens pallescens,136.0
Rhynchotus maculicollis,137.0
Nothoprocta taczanowskii,138.0
Nothoprocta ornata,139.0
Nothoprocta ornata branickii,140.0
Nothoprocta ornata ornata,141.0
Nothoprocta ornata rostrata,142.0
Nothoprocta perdicaria,143.0
Nothoprocta perdicaria perdicaria,144.0
Nothoprocta perdicaria sanborni,145.0
Nothoprocta cinerascens,146.0
Nothoprocta cinerascens cinerascens,147.0
Nothoprocta cinerascens parvimaculata,148.0
Nothoprocta pentlandii,149.0
Nothoprocta pentlandii ambigua,150.0
Nothoprocta pentlandii oustaleti,151.0
Nothoprocta pentlandii niethammeri,152.0
Nothoprocta pentlandii fulvescens,153.0
Nothoprocta pentlandii pentlandii,154.0
Nothoprocta pentlandii patriciae,154.5
Nothoprocta pentlandii doeringi,155.0
Nothoprocta pentlandii mendozae,156.0
Nothoprocta curvirostris,157.0
Nothoprocta curvirostris curvirostris,158.0
Nothoprocta curvirostris peruviana,159.0
Nothura boraquira,161.0
Nothura minor,162.0
Nothura darwinii,163.0
Nothura darwinii peruviana,164.0
Nothura darwinii agassizii,165.0
Nothura darwinii boliviana,166.0
Nothura darwinii salvadorii,167.0
Nothura darwinii darwinii,168.0
Nothura maculosa,169.0
Nothura maculosa cearensis,170.0
Nothura maculosa major,171.0
Nothura maculosa chacoensis,172.0
Nothura maculosa paludivaga,173.0
Nothura maculosa maculosa,174.0
Nothura maculosa pallida,175.0
Nothura maculosa annectens,176.0
Nothura maculosa submontana,177.0
Nothura maculosa nigroguttata,178.0
Taoniscus nanus,179.0
Eudromia elegans,180.0
Eudromia elegans intermedia,181.0
Eudromia elegans magnistriata,182.0
Eudromia elegans riojana,183.0
Eudromia elegans albida,184.0
Eudromia elegans wetmorei,185.0
Eudromia elegans devia,186.0
Eudromia elegans numida,187.0
Eudromia elegans multiguttata,188.0
Eudromia elegans elegans,189.0
Eudromia elegans patagonica,190.0
Eudromia formosa,191.0
Eudromia formosa mira,192.0
Eudromia formosa formosa,193.0
Tinamotis pentlandii,194.0
Tinamotis ingoufi,195.0
Casuarius casuarius,197.0
Casuarius bennetti,198.0
Casuarius unappendiculatus,199.0
Dromaius novaehollandiae,200.0
Dromaius novaehollandiae novaehollandiae,201.0
Dromaius novaehollandiae baudinianus,202.0
Dromaius novaehollandiae minor,203.0
Dromaius novaehollandiae diemenensis,204.0
Apteryx australis,205.0
Apteryx australis australis,206.0
Apteryx australis lawryi,207.0
Apteryx rowi,208.0
Apteryx mantelli,209.0
Apteryx owenii,210.0
Apteryx haastii,211.0
Anhima cornuta,213.0
Chauna torquata,214.0
Chauna chavaria,215.0
Anseranas semipalmata,216.0
Dendrocygna guttata,217.0
Dendrocygna eytoni,218.0
Dendrocygna viduata,219.0
Dendrocygna autumnalis,221.0
Dendrocygna autumnalis fulgens,222.0
Dendrocygna autumnalis autumnalis,223.0
Dendrocygna arborea,224.0
Dendrocygna bicolor,226.0
Dendrocygna arcuata,229.0
Dendrocygna arcuata arcuata,230.0
Dendrocygna arcuata australis,231.0
Dendrocygna arcuata pygmaea,232.0
Dendrocygna javanica,233.0
Thalassornis leuconotus,237.0
Thalassornis leuconotus leuconotus,238.0
Thalassornis leuconotus insularis,239.0
Anser indicus,240.0
Anser canagicus,241.0
Anser caerulescens,242.0
Anser caerulescens caerulescens,243.0
Anser caerulescens atlanticus,244.0
Anser rossii,245.0
Anser anser,248.0
Anser anser anser,249.0
Anser anser rubrirostris,250.0
Anser cygnoides,252.0
Anser albifrons,255.0
Anser albifrons flavirostris,256.0
Anser albifrons albifrons,257.0
Anser albifrons gambelli/sponsa,258.0
Anser albifrons gambelli,259.0
Anser albifrons sponsa,260.0
Anser albifrons elgasi,261.0
Anser erythropus,266.0
Anser fabalis,268.0
Anser fabalis fabalis,269.0
Anser fabalis johanseni,270.0
Anser fabalis middendorffii,271.0
Anser serrirostris,272.0
Anser serrirostris rossicus,273.0
Anser serrirostris serrirostris,274.0
Anser brachyrhynchus,276.0
Branta bernicla,279.0
Branta bernicla bernicla,280.0
Branta bernicla hrota,281.0
Branta bernicla nigricans,282.0
Branta leucopsis,286.0
Branta hutchinsii,292.0
Branta hutchinsii leucopareia,293.0
Branta hutchinsii hutchinsii,294.0
Branta hutchinsii minima,295.0
Branta hutchinsii taverneri,296.0
Branta canadensis,303.0
Branta canadensis moffitti/maxima,304.0
Branta canadensis moffitti,305.0
Branta canadensis maxima,306.0
Branta canadensis occidentalis/fulva,307.0
Branta canadensis occidentalis,308.0
Branta canadensis fulva,309.0
Branta canadensis [canadensis Group],310.0
Branta canadensis parvipes,311.0
Branta canadensis canadensis,312.0
Branta canadensis interior,313.0
Branta sandvicensis,326.0
Branta ruficollis,327.0
Cereopsis novaehollandiae,332.0
Cereopsis novaehollandiae grisea,333.0
Cereopsis novaehollandiae novaehollandiae,334.0
Stictonetta naevosa,335.0
Cyanochen cyanoptera,336.0
Cygnus olor,337.0
Cygnus atratus,339.0
Cygnus melancoryphus,340.0
Cygnus buccinator,341.0
Cygnus columbianus,343.0
Cygnus columbianus columbianus,344.0
Cygnus columbianus bewickii,345.0
Cygnus cygnus,349.0
Coscoroba coscoroba,353.0
Sarkidiornis melanotos,354.0
Sarkidiornis sylvicola,355.0
Pteronetta hartlaubii,356.0
Oressochen jubatus,357.0
Oressochen melanopterus,358.0
Chloephaga picta,359.0
Chloephaga picta picta,360.0
Chloephaga picta leucoptera,361.0
Chloephaga hybrida,364.0
Chloephaga hybrida hybrida,365.0
Chloephaga hybrida malvinarum,366.0
Chloephaga poliocephala,367.0
Chloephaga rubidiceps,368.0
Radjah radjah,370.0
Radjah radjah radjah,371.0
Radjah radjah rufitergum,372.0
Alopochen aegyptiaca,373.0
Alopochen mauritiana,374.0
Alopochen kervazoi,375.0
Tadorna ferruginea,376.0
Tadorna cana,378.0
Tadorna tadornoides,379.0
Tadorna variegata,380.0
Tadorna tadorna,381.0
Tadorna cristata,383.0
Plectropterus gambensis,384.0
Plectropterus gambensis gambensis,385.0
Plectropterus gambensis niger,386.0
Tachyeres patachonicus,387.0
Tachyeres pteneres,388.0
Tachyeres brachypterus,390.0
Tachyeres leucocephalus,391.0
Lophonetta specularioides,393.0
Lophonetta specularioides alticola,394.0
Lophonetta specularioides specularioides,395.0
Speculanas specularis,396.0
Cairina moschata,397.0
Nettapus pulchellus,400.0
Nettapus coromandelianus,401.0
Nettapus coromandelianus coromandelianus,402.0
Nettapus coromandelianus albipennis,403.0
Nettapus auritus,404.0
Callonetta leucophrys,405.0
Aix sponsa,406.0
Aix galericulata,408.0
Chenonetta jubata,410.0
Chenonetta finschi,411.0
Amazonetta brasiliensis,412.0
Amazonetta brasiliensis brasiliensis,413.0
Amazonetta brasiliensis ipecutiri,414.0
Hymenolaimus malacorhynchos,415.0
Hymenolaimus malacorhynchos hymenolaimus,
Hymenolaimus malacorhynchos malacorhynchos,
Merganetta armata,416.0
Merganetta armata colombiana,417.0
Merganetta armata leucogenis,418.0
Merganetta armata turneri,419.0
Merganetta armata garleppi,420.0
Merganetta armata berlepschi,421.0
Merganetta armata armata,422.0
Salvadorina waigiuensis,423.0
Sibirionetta formosa,424.0
Spatula querquedula,425.0
Spatula hottentota,426.0
Spatula versicolor,427.0
Spatula versicolor versicolor,428.0
Spatula versicolor fretensis,429.0
Spatula puna,430.0
Spatula discors,431.0
Spatula cyanoptera,432.0
Spatula cyanoptera septentrionalium,433.0
Spatula cyanoptera tropica,434.0
Spatula cyanoptera borreroi,435.0
Spatula cyanoptera orinoma,436.0
Spatula cyanoptera cyanoptera,437.0
Spatula platalea,440.0
Spatula smithii,441.0
Spatula rhynchotis,442.0
Spatula rhynchotis rhynchotis,
Spatula rhynchotis variegata,
Spatula clypeata,443.0
Mareca strepera,447.0
Mareca strepera strepera,448.0
Mareca strepera couesi,449.0
Mareca falcata,451.0
Mareca penelope,454.0
Mareca americana,456.0
Mareca sibilatrix,463.0
Mareca marecula,464.0
Anas sparsa,465.0
Anas sparsa leucostigma,466.0
Anas sparsa sparsa,467.0
